41, -386, 526
-11, -386, 326
-91, -343, 435
-98, -189, 660
-23, 137, 575
-56, 53, 572
-71, -215, 678
-71, -215, 678
4, -69, 702
8, 223, 672
-44, 238, 599
-69, 54, 557
-69, 54, 557
-72, 8, 536
-39, 256, 492
-52, 387, 397
-136, 140, 535
-49, 60, 697
-49, 60, 697
134, 255, 855
205, 313, 932
154, 122, 944
129, -98, 1213
182, -51, 1533
182, -51, 1533
223, 86, 1468
187, -11, 1507
133, -57, 1569
132, 164, 1563
192, 25, 1361
-66, 164, 1660
-,-,-
-139, -272, 886
36, 117, 561
106, 118, 111
-123, -462, 697
-36, -569, 1187
206, 19, 481
206, 19, 481
53, -38, 271
-106, -147, 293
-150, 53, 336
-106, 194, 316
-51, 182, 400
-51, 182, 400
-3, 113, 531
13, 150, 504
-21, 149, 437
10, 14, 571
10, 14, 571
58, -53, 820
151, 52, 804
196, 83, 796
204, -66, 911
204, -66, 911
212, -213, 1263
234, -145, 1340
226, -54, 1157
228, -127, 1127
199, -183, 1253
163, -86, 1337
109, -10, 1375
130, 4, 1424
130, 4, 1424
169, 88, 1529
180, 181, 1506
121, 128, 1511
-,-,-
33, -39, 685
-24, 43, 409
-70, -218, 557
-94, -284, 787
-94, -284, 787
-7, -33, 561
-2, 89, 321
-52, -83, 420
-118, -236, 670
-61, -87, 754
-61, -87, 754
3, 81, 559
41, 43, 534
4, -197, 653
4, -197, 653
-10, -286, 751
9, -124, 648
27, -60, 439
1, -142, 583
-16, -127, 782
-16, -127, 782
0, -9, 821
58, 4, 826
127, -14, 915
127, -14, 915
148, 28, 1041
146, 21, 1143
180, 69, 1286
192, 140, 1375
167, 43, 1549
164, -181, 1606
234, -188, 1600
-,-,-
99, -59, 494
-43, -201, 540
-122, -325, 739
-16, 37, 661
-16, 37, 661
76, 172, 368
-38, -24, 519
-132, -131, 613
-95, -26, 724
0, 110, 754
0, 110, 754
16, 6, 844
1, -190, 856
18, -187, 724
18, -187, 724
13, -99, 629
-19, -114, 712
-3, -116, 683
-17, -130, 574
-42, -120, 450
-34, -122, 489
-34, -122, 489
-47, -159, 578
10, -220, 758
111, -195, 940
191, -69, 1199
237, -10, 1463
202, -80, 1681
244, -186, 1725
264, -368, 1777
263, -460, 1957
-,-,-
11, -216, 272
39, -215, 318
25, -114, 320
20, 66, 266
20, 66, 266
7, 65, 300
2, -8, 444
2, -8, 444
17, 1, 462
52, 77, 503
52, 77, 503
88, 46, 568
82, -82, 841
73, -111, 1043
98, -68, 1110
98, -68, 1110
144, -62, 1086
186, 2, 1139
150, 77, 1285
73, 58, 1348
101, -47, 1393
101, -47, 1393
134, -122, 1375
142, 3, 1464
129, 61, 1443
96, 85, 1421
121, 85, 1387
-,-,-
-182, 25, 799
-42, 61, 468
-69, 27, 445
-69, 27, 445
-103, -129, 657
-34, -81, 683
52, 83, 572
69, 46, 612
69, 46, 612
84, -121, 796
119, -233, 858
174, -203, 843
155, -211, 912
198, -180, 1106
244, -148, 1042
244, -148, 1042
201, -184, 1169
174, -133, 1211
248, -22, 890
199, -89, 981
146, -34, 1190
94, 116, 1271
95, 132, 1150
118, 70, 1119
118, 70, 1119
98, 33, 1211
51, -73, 1542
56, -70, 1742
121, -99, 1599
-,-,-
-7, -87, 832
-55, -82, 869
-12, 7, 623
-12, 7, 623
62, 40, 546
36, -41, 591
-9, -127, 655
-9, -127, 655
7, -143, 656
40, -83, 628
97, -13, 671
119, -106, 688
88, -249, 752
88, -249, 752
54, -339, 978
77, -186, 1064
82, -54, 1001
43, -78, 943
2, -160, 896
2, -160, 896
-4, -147, 901
-30, -60, 976
-66, 4, 1082
-28, 13, 1042
-28, 13, 1042
100, 11, 1069
156, 56, 1208
98, 106, 1355
46, 120, 1340
18, 27, 1302
18, 27, 1302
8, -28, 1319
92, -49, 1330
167, -122, 1339
152, -138, 1491
-,-,-
-9, -149, 732
22, -4, 641
72, -30, 617
72, -30, 617
71, -6, 559
33, -5, 667
35, -27, 701
35, -27, 701
80, 11, 595
89, 32, 533
82, -104, 501
83, -104, 538
83, -215, 538
115, -107, 587
111, -23, 674
113, -71, 666
156, -147, 803
159, -109, 1000
143, -26, 1035
143, -26, 1035
97, -23, 1003
95, -149, 1056
178, -153, 1057
192, -19, 1205
142, 73, 1330
136, 22, 1434
245, -43, 1511
332, 3, 1473
332, 3, 1473
252, 7, 1530
-,-,-
-128, -27, 755
12, 35, 617
12, 35, 617
126, 169, 298
88, 74, 344
-18, -203, 658
27, -287, 618
27, -287, 618
107, -234, 350
144, -220, 372
95, -194, 582
52, -142, 715
32, -148, 807
30, -161, 833
30, -161, 833
27, -124, 937
14, -120, 990
63, -136, 1069
145, -96, 1140
172, 33, 1128
118, 129, 1108
118, 129, 1108
76, 73, 1166
101, 66, 1224
149, 190, 1246
133, 279, 1245
98, 254, 1226
102, 154, 1271
102, 154, 1271
116, 121, 1341
151, 129, 1373
-,-,-
164, 3, 379
105, -69, 421
105, -69, 421
6, -188, 711
-11, -221, 868
61, -175, 838
144, -83, 741
138, -69, 697
138, -69, 697
53, -136, 887
48, -202, 992
69, -184, 931
63, -108, 917
0, -94, 989
0, -94, 989
-27, -91, 1054
-20, -91, 1065
-1, -41, 995
10, 89, 913
10, 89, 913
-28, 187, 898
-72, 163, 934
-109, 96, 981
-60, 111, 926
-60, 111, 926
56, 227, 857
67, 341, 858
56, 275, 1011
82, 125, 1209
-,-,-
-148, -200, 604
-47, -66, 536
11, -66, 411
11, 61, 411
-51, 7, 500
-131, -144, 721
-119, -153, 760
5, -88, 545
5, -88, 545
53, -34, 566
38, -48, 750
40, -150, 838
71, -248, 814
71, -248, 814
73, -274, 730
102, -238, 817
104, -209, 957
103, -163, 1013
113, -185, 958
